Date,Open,High,Low,Close,Volume,Adj Close
2008-07-30,2329.01,2342.88,2299.98,2329.72,2280940000,2329.72
2008-07-29,2274.61,2320.18,2274.37,2319.62,2274090000,2319.62
2008-07-28,2307.19,2317.75,2258.62,2264.22,1931230000,2264.22
2008-07-25,2294.69,2312.60,2282.63,2310.53,2045130000,2310.53
2008-07-24,2329.21,2329.21,2278.91,2280.11,2499920000,2280.11
2008-07-23,2305.11,2350.09,2300.20,2325.88,2730180000,2325.88
2008-07-22,2256.32,2303.96,2252.84,2303.96,2510310000,2303.96
2008-07-21,2290.75,2300.32,2270.28,2279.53,1859410000,2279.53
2008-07-18,2286.92,2293.18,2269.55,2282.78,2225800000,2282.78
2008-07-17,2296.57,2320.77,2274.27,2312.30,2570670000,2312.30
2008-07-16,2219.27,2284.85,2205.71,2284.85,2425020000,2284.85
2008-07-15,2197.18,2249.12,2167.29,2215.71,2798410000,2215.71
2008-07-14,2262.86,2266.44,2207.00,2212.87,1997990000,2212.87
2008-07-11,2233.38,2265.86,2203.25,2239.08,2340180000,2239.08
2008-07-10,2239.95,2267.67,2223.04,2257.85,2300880000,2257.85
2008-07-09,2290.63,2296.03,2234.59,2234.89,2285560000,2234.89
2008-07-08,2244.90,2294.44,2233.99,2294.44,2462380000,2294.44
2008-07-07,2263.69,2276.54,2214.16,2243.32,2363990000,2243.32
2008-07-03,2261.74,2262.96,2227.80,2245.38,1423670000,2245.38
2008-07-02,2311.57,2317.20,2251.30,2251.46,2376300000,2251.46
2008-07-01,2274.24,2306.91,2255.79,2304.97,2653890000,2304.97
2008-06-30,2312.42,2325.49,2292.98,2292.98,2096400000,2292.98
2008-06-27,2319.62,2329.94,2290.59,2315.63,3403540000,2315.63
2008-06-26,2365.86,2366.16,2321.37,2321.37,2300840000,2321.37
2008-06-25,2376.82,2421.25,2376.29,2401.26,2153970000,2401.26
2008-06-24,2375.80,2394.86,2352.10,2368.28,2195920000,2368.28
2008-06-23,2416.55,2419.69,2384.56,2385.74,1916230000,2385.74
2008-06-20,2441.96,2441.96,2394.26,2406.09,2570320000,2406.09
2008-06-19,2427.17,2469.15,2412.37,2462.06,2294540000,2462.06
2008-06-18,2444.96,2449.18,2422.96,2429.71,2030700000,2429.71
2008-06-17,2481.20,2483.19,2456.78,2457.73,1798050000,2457.73
2008-06-16,2443.13,2479.95,2441.24,2474.78,1871720000,2474.78
2008-06-13,2423.05,2454.50,2417.01,2454.50,2106050000,2454.50
2008-06-12,2414.46,2432.88,2388.49,2404.35,2276640000,2404.35
2008-06-11,2444.94,2446.28,2394.01,2394.01,2065810000,2394.01
2008-06-10,2436.75,2466.28,2432.47,2448.94,2081430000,2448.94
2008-06-09,2483.22,2485.00,2429.30,2459.46,2084630000,2459.46
2008-06-06,2528.52,2529.97,2474.56,2474.56,2192240000,2474.56
2008-06-05,2509.49,2549.94,2504.57,2549.94,2254760000,2549.94
2008-06-04,2473.03,2518.71,2471.52,2503.14,2153510000,2503.14
2008-06-03,2500.50,2513.89,2460.56,2480.48,2148040000,2480.48
2008-06-02,2514.82,2516.37,2471.41,2491.53,1972760000,2491.53
2008-05-30,2519.14,2530.16,2510.65,2522.66,2153350000,2522.66
2008-05-29,2486.09,2522.14,2485.92,2508.32,1956100000,2508.32
2008-05-28,2491.50,2493.38,2465.59,2486.70,1792750000,2486.70
2008-05-27,2450.52,2482.08,2448.58,2481.24,1742710000,2481.24
2008-05-23,2454.14,2456.00,2430.36,2444.67,1734070000,2444.67
2008-05-22,2454.74,2474.53,2448.84,2464.58,1932080000,2464.58
2008-05-21,2497.39,2508.90,2444.99,2448.27,2166450000,2448.27
2008-05-20,2505.86,2506.19,2479.37,2492.26,1991010000,2492.26
2008-05-19,2530.82,2551.47,2505.60,2516.09,2269590000,2516.09
2008-05-16,2537.41,2537.41,2504.18,2528.85,2286090000,2528.85
2008-05-15,2496.44,2535.19,2492.95,2533.73,2176320000,2533.73
2008-05-14,2503.28,2528.40,2493.58,2496.70,2129270000,2496.70
2008-05-13,2491.02,2498.07,2472.58,2495.12,1895250000,2495.12
2008-05-12,2454.65,2490.22,2446.36,2488.49,1769330000,2488.49
2008-05-09,2432.55,2455.33,2429.03,2445.52,1711510000,2445.52
2008-05-08,2450.01,2462.51,2436.61,2451.24,2031770000,2451.24
2008-05-07,2483.03,2496.65,2435.76,2438.49,2238810000,2438.49
2008-05-06,2455.11,2488.83,2445.37,2483.31,2097260000,2483.31
2008-05-05,2475.31,2486.05,2458.12,2464.12,2085110000,2464.12
2008-05-02,2499.14,2499.14,2461.46,2476.99,2279510000,2476.99
2008-05-01,2416.49,2480.71,2416.49,2480.71,2344770000,2480.71
2008-04-30,2434.20,2451.19,2406.37,2412.80,2127390000,2412.80
2008-04-29,2420.00,2435.38,2412.10,2426.10,1769030000,2426.10
2008-04-28,2422.63,2437.00,2416.90,2424.40,1724680000,2424.40
2008-04-25,2424.68,2427.09,2391.15,2422.93,1956260000,2422.93
2008-04-24,2408.25,2447.28,2383.76,2428.92,2337160000,2428.92
2008-04-23,2391.64,2412.53,2382.77,2405.21,2181580000,2405.21
2008-04-22,2397.12,2397.17,2361.67,2376.94,1941680000,2376.94
2008-04-21,2393.07,2410.97,2389.82,2408.04,1601280000,2408.04
2008-04-18,2394.52,2412.78,2383.24,2402.97,2190920000,2402.97
2008-04-17,2347.32,2348.31,2327.66,2341.83,1779300000,2341.83
2008-04-16,2313.42,2352.21,2313.42,2350.11,2128770000,2350.11
2008-04-15,2287.43,2291.12,2266.29,2286.04,1884750000,2286.04
2008-04-14,2287.02,2296.73,2274.91,2275.82,1626710000,2275.82
2008-04-11,2327.70,2328.45,2286.19,2290.24,1902540000,2290.24
2008-04-10,2326.78,2363.91,2324.39,2351.70,2159000000,2351.70
2008-04-09,2351.94,2353.54,2311.45,2322.12,1922050000,2322.12
2008-04-08,2353.58,2359.40,2337.84,2348.76,1635290000,2348.76
2008-04-07,2386.62,2390.04,2359.54,2364.83,1730020000,2364.83
2008-04-04,2366.91,2391.93,2351.76,2370.98,1977560000,2370.98
2008-04-03,2347.91,2373.99,2339.38,2363.30,1993480000,2363.30
2008-04-02,2363.42,2381.21,2347.78,2361.40,1996680000,2361.40
2008-04-01,2306.51,2362.75,2305.40,2362.75,2160120000,2362.75
2008-03-31,2265.15,2289.70,2260.59,2279.10,1788360000,2279.10
2008-03-28,2291.32,2304.71,2256.87,2261.18,1785770000,2261.18
2008-03-27,2315.04,2315.91,2280.47,2280.83,2038770000,2280.83
2008-03-26,2328.62,2331.18,2306.49,2324.36,1915210000,2324.36
2008-03-25,2329.16,2346.78,2312.06,2341.05,2099060000,2341.05
2008-03-24,2268.20,2336.70,2268.20,2326.75,2312600000,2326.75
2008-03-20,2220.50,2258.11,2208.12,2258.11,2764480000,2258.11
2008-03-19,2272.12,2280.90,2209.96,2209.96,2265420000,2209.96
2008-03-18,2215.61,2268.26,2206.81,2268.26,2411630000,2268.26
2008-03-17,2166.94,2200.53,2155.42,2177.01,2338210000,2177.01
2008-03-14,2271.21,2277.11,2191.75,2212.49,2547310000,2212.49
2008-03-13,2219.28,2272.55,2199.38,2263.61,2419220000,2263.61
2008-03-12,2259.97,2282.61,2241.38,2243.87,2077140000,2243.87
2008-03-11,2209.65,2255.76,2192.50,2255.76,2526040000,2255.76
2008-03-10,2211.14,2216.89,2168.67,2169.34,2101010000,2169.34
2008-03-07,2204.48,2242.50,2186.93,2212.49,2386980000,2212.49
2008-03-06,2265.67,2272.20,2219.33,2220.50,2165090000,2220.50
2008-03-05,2266.49,2290.01,2254.20,2272.81,2209090000,2272.81
2008-03-04,2244.21,2266.37,2221.09,2260.28,2669980000,2260.28
2008-03-03,2271.26,2275.75,2240.30,2258.60,2145070000,2258.60
2008-02-29,2309.06,2311.23,2264.97,2271.48,2405360000,2271.48
2008-02-28,2342.56,2352.88,2324.47,2331.57,2032040000,2331.57
2008-02-27,2329.16,2363.52,2326.34,2353.78,2216540000,2353.78
2008-02-26,2314.42,2361.10,2311.32,2344.99,2263650000,2344.99
2008-02-25,2303.41,2333.71,2294.38,2327.48,2152880000,2327.48
2008-02-22,2306.61,2308.76,2265.36,2303.35,2324450000,2303.35
2008-02-21,2344.08,2353.79,2294.77,2299.78,2277540000,2299.78
2008-02-20,2292.82,2331.70,2291.24,2327.10,2258180000,2327.10
2008-02-19,2348.98,2352.79,2300.10,2306.20,1988690000,2306.20
2008-02-15,2320.58,2329.17,2305.81,2321.80,1999540000,2321.80
2008-02-14,2376.22,2376.22,2328.59,2332.54,2267580000,2332.54
2008-02-13,2347.22,2373.93,2338.91,2373.93,2174670000,2373.93
